#,Name,MLBAMID,RazzballID,FangraphsID,Team,ESPN_POS,YAHOO_POS
1,A.J. Alexy,669935,669935,22343,TEX,SP,SP
2,A.J. Cole,595918,11467,11467,FA,RP,RP
3,A.J. Minter,621345,621345,18655,ATL,RP,RP
4,A.J. Puckett,643494,643494,sa738686,ATL,SP,SP
5,A.J. Puk,640462,640462,19343,OAK,RP,RP
6,A.J. Ramos,573109,8350,8350,FA,RP,RP
7,A.J. Smith-Shawver,700363,700363,sa3017690,ATL,SP,SP
8,A.J. Vukovich,691021,691021,sa3014525,ARI,3B,3B
9,Aaron Altherr,571437,11270,11270,FA,OF,OF
10,Aaron Antonini,689577,689577,sa3010906,STL,C,C
11,Aaron Ashby,676879,676879,23550,MIL,SP,SP
12,Aaron Barrett,502578,11243,11243,PHI,RP,RP
13,Aaron Blair,594760,14934,14934,FA,SP,SP
14,Aaron Bracho,677570,677570,sa3010018,CLE,2B,2B
15,Aaron Brooks,605156,12272,12272,STL,RP,RP
16,Aaron Brown,676345,676345,sa3017500,OAK,SP,SP
17,Aaron Bummer,607481,607481,16258,CHW,RP,RP
18,Aaron Civale,650644,650644,19479,CLE,SP,SP
19,Aaron Cohn,703110,703110,sa3017210,OAK,RP,RP
20,Aaron Davenport,702126,702126,sa3017615,CLE,SP,SP
21,Aaron Fletcher,667465,667465,22052,PIT,RP,RP
22,Aaron Fossas,670579,670579,sa919827,CIN,RP,RP
23,Aaron Haase,700412,700412,sa3017849,DET,RP,RP
24,Aaron Hernandez,669443,669443,sa3008599,LAA,SP,SP
25,Aaron Hicks,543305,5297,5297,NYY,OF,OF
26,Aaron Holiday,701569,701569,sa3017937,SD,RP,RP
27,Aaron Judge,592450,15640,15640,NYY,OF,OF
28,Aaron Knapp,669235,669235,sa873277,FA,OF,OF
29,Aaron Leasher,669468,669468,sa3004701,SD,SP,SP
30,Aaron Loup,571901,10343,10343,LAA,RP,RP
31,Aaron McKeithan,702463,702463,sa3016977,STL,C,C
32,Aaron Nola,605400,16149,16149,PHI,SP,SP
33,Aaron Northcraft,573062,573062,10218,SD,RP,RP
34,Aaron Palensky,695312,695312,sa3015077,NYY,OF,OF
35,Aaron Pinto,681259,681259,sa3006823,CLE,RP,RP
36,Aaron Rozek,702065,702065,sa3015224,MIN,SP,SP
37,Aaron Sabato,693306,693306,sa3014494,MIN,1B,1B
38,Aaron Sanchez,592717,11490,11490,MIN,SP,SP
